Ticker,Entry,Score,Close,Bars,Avg$Vol,VolRatio,RSI,ATR%,Trigger,EntryHint,Invalidation,Reasons,Note
CAT,BUY_BREAKOUT,55,726.2,1176,1903320927,1.17,67.7,3.66,돌파 확인(20D High 727.40+ / 거래량 1.2x),727.40 부근(돌파 유지 시),"615.45 하회 시, 손절 673.02","20일 고점 근접, MACD 개선, RSI 68",돌파 실패(되밀림) 주의. 종가 기준 확인 권장.
CSCO,BUY_BREAKOUT,45,84.82,1176,1733471156,1.08,76.0,2.4,돌파 확인(20D High 85.00+ / 거래량 1.1x),85.00 부근(돌파 유지 시),"77.33 하회 시, 손절 80.75","20일 고점 근접, MACD 개선",돌파 실패(되밀림) 주의. 종가 기준 확인 권장.
LLY,BUY_PULLBACK,45,1058.18,1176,3679517677,1.39,52.5,4.0,눌림 반등 확인(SMA20 1052.95 부근),1058.18 근처(분할) 또는 직전 고가 상향 시,"1052.95 이탈 시, 손절 973.49","거래량 1.4x, MACD 개선, RSI 52",RSI 52.5 / 거래량 축소 후 반등이면 더 좋음.
NVDA,BUY_PULLBACK,35,185.41,1176,31976672865,1.33,49.3,3.58,눌림 반등 확인(SMA20 184.68 부근),185.41 근처(분할) 또는 직전 고가 상향 시,"184.68 이탈 시, 손절 172.14","거래량 1.3x, RSI 49",RSI 49.3 / 거래량 축소 후 반등이면 더 좋음.
V,BUY_PULLBACK,30,331.58,1176,2973190569,0.86,53.4,2.14,눌림 반등 확인(SMA20 329.87 부근),331.58 근처(분할) 또는 직전 고가 상향 시,"329.87 이탈 시, 손절 317.41","MACD 개선, RSI 53",RSI 53.4 / 거래량 축소 후 반등이면 더 좋음.
BA,BUY_PULLBACK,30,243.03,1176,2115502931,0.77,43.1,3.1,눌림 반등 확인(SMA20 242.20 부근),243.03 근처(분할) 또는 직전 고가 상향 시,"242.20 이탈 시, 손절 227.98","MACD 개선, RSI 43",RSI 43.1 / 거래량 축소 후 반등이면 더 좋음.
NKE,BUY_PULLBACK,30,63.92,1176,933408198,0.82,48.4,2.71,눌림 반등 확인(SMA20 64.03 부근),63.92 근처(분할) 또는 직전 고가 상향 시,"64.03 이탈 시, 손절 60.45","MACD 개선, RSI 48",RSI 48.4 / 거래량 축소 후 반등이면 더 좋음.
AVGO,BUY_PULLBACK,20,332.92,1176,9245787659,1.18,40.2,4.82,눌림 반등 확인(SMA20 332.46 부근),332.92 근처(분할) 또는 직전 고가 상향 시,"332.46 이탈 시, 손절 300.82",RSI 40,RSI 40.2 / 거래량 축소 후 반등이면 더 좋음.
GS,BUY_PULLBACK,20,928.75,1176,2343489985,0.99,41.7,3.19,눌림 반등 확인(SMA20 937.94 부근),928.75 근처(분할) 또는 직전 고가 상향 시,"937.94 이탈 시, 손절 869.44",RSI 42,RSI 41.7 / 거래량 축소 후 반등이면 더 좋음.
DIS,BUY_PULLBACK,20,108.7,1176,1435473081,0.92,45.6,2.94,눌림 반등 확인(SMA20 110.64 부근),108.70 근처(분할) 또는 직전 고가 상향 시,"110.64 이탈 시, 손절 102.30",RSI 46,RSI 45.6 / 거래량 축소 후 반등이면 더 좋음.
MS,BUY_PULLBACK,10,179.96,1176,1464468948,1.14,36.0,2.83,눌림 반등 확인(SMA20 183.01 부근),179.96 근처(분할) 또는 직전 고가 상향 시,"183.01 이탈 시, 손절 169.77",,RSI 36.0 / 거래량 축소 후 반등이면 더 좋음.
AAPL,WATCH_BREAKOUT,50,278.12,1176,14834253623,0.89,74.2,2.5,트리거: 280.91 상향 돌파(20D High),280.91 돌파 시 분할 진입,"268.70 하회 시, 손절 264.23","20일 고점 근접, MACD 개선, RSI 74",거래량 1.05x 이상 동반 시 신뢰도↑ (현재 0.89x)
COST,WATCH_BREAKOUT,50,1001.16,1176,2556163565,0.89,63.7,2.0,트리거: 1001.37 상향 돌파(20D High),1001.37 돌파 시 분할 진입,"914.94 하회 시, 손절 961.18","20일 고점 근접, MACD 개선, RSI 64",거래량 1.05x 이상 동반 시 신뢰도↑ (현재 0.89x)
BAC,WATCH_BREAKOUT,50,56.53,1176,2204443159,1.03,71.1,1.96,트리거: 56.87 상향 돌파(20D High),56.87 돌파 시 분할 진입,"54.29 하회 시, 손절 54.31","20일 고점 근접, MACD 개선, RSI 71",거래량 1.05x 이상 동반 시 신뢰도↑ (현재 1.03x)
WMT,WATCH_BREAKOUT,40,131.18,1176,5749914429,0.56,77.1,2.16,트리거: 131.70 상향 돌파(20D High),131.70 돌파 시 분할 진입,"116.11 하회 시, 손절 125.51","20일 고점 근접, MACD 개선",거래량 1.05x 이상 동반 시 신뢰도↑ (현재 0.56x)
